epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3091,2.63563,215.514,0.12504,0.00141,0.00106,1e-05,0,2.5185,19.764,0.19057,0.00198077,0.00198077,0.0821731
2,61.2361,1.90092,16.5385,0.10854,0.00037,0.06922,0.00013,2e-05,2.19509,26.0754,0.16668,0.00398053,0.00398053,0.0641728
3,89.9963,1.68364,16.7577,0.09465,0.00131,0.27936,0.00178,0.00033,1.75433,22.5102,0.13284,0.00597931,0.00597931,0.0461716
4,118.724,1.5098,16.8415,0.08127,0.66867,0.00877,0.01253,0.00173,1.59043,19.6722,0.114,0.00797638,0.00797638,0.0281687
5,147.362,1.44308,16.9061,0.07539,0.00503,0.22102,0.00263,0.00057,1.48865,18.6633,0.10526,0.00997102,0.00997102,0.0101633
6,175.89,1.40288,17.0313,0.07324,0.36334,0.15088,0.02107,0.00435,1.46549,17.6845,0.09815,0.00998474,0.00998474,0.00998474
7,204.553,1.36991,16.985,0.07118,0.00269,0.31402,0.00254,0.00052,1.55362,25.74,0.10935,0.00997803,0.00997803,0.00997803
