epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,165.267,1.33565,14.8754,0.06779,0.02322,0.36039,0.03444,0.00971,1.52218,16.8733,0.1026,0.00973312,0.00973312,0.00973312
23,172.481,1.34494,14.882,0.06635,0.69936,0.05,0.0446,0.01232,1.50328,15.2571,0.09811,0.00970736,0.00970736,0.00970736
24,179.723,1.33555,14.7834,0.06696,0.73891,0.16667,0.08535,0.01668,1.50683,18.5252,0.09909,0.00968045,0.00968045,0.00968045
25,186.957,1.29908,14.7663,0.0659,0.00739,0.62489,0.05692,0.00969,1.47583,15.5179,0.09514,0.00965239,0.00965239,0.00965239
26,194.237,1.34868,14.5032,0.0697,0.72482,0.11667,0.10535,0.01689,1.49339,15.9933,0.09963,0.0096232,0.0096232,0.0096232
27,201.513,1.35723,14.5722,0.06918,0.20016,0.21949,0.09477,0.02199,1.453,15.5931,0.09357,0.00959289,0.00959289,0.00959289
28,208.826,1.28578,14.7326,0.0632,0.70251,0.16268,0.06636,0.02023,1.38534,15.1651,0.08775,0.00956145,0.00956145,0.00956145
29,216.232,1.2892,14.7598,0.06491,0.04049,0.29073,0.0989,0.02537,1.44979,15.0112,0.09521,0.00952889,0.00952889,0.00952889
30,223.773,1.28021,14.6259,0.06592,0.7324,0.14743,0.10494,0.02285,1.45726,16.0619,0.09256,0.00949524,0.00949524,0.00949524
31,231.114,1.29395,14.4724,0.06446,0.01132,0.57061,0.09245,0.02213,1.49882,14.7154,0.09458,0.00946048,0.00946048,0.00946048
32,238.565,1.29488,14.3708,0.0649,0.7607,0.11667,0.11882,0.01961,1.51679,14.3193,0.09758,0.00942464,0.00942464,0.00942464
33,245.859,1.29615,14.302,0.06374,0.74439,0.11667,0.09251,0.0202,1.4574,15.3254,0.09174,0.00938772,0.00938772,0.00938772
34,253.274,1.30043,14.3113,0.06499,0.03664,0.3436,0.09093,0.02138,1.57578,14.4223,0.1036,0.00934973,0.00934973,0.00934973
35,260.735,1.30282,14.0794,0.06597,0.72904,0.05,0.07923,0.01376,1.53575,15.4147,0.09665,0.00931067,0.00931067,0.00931067
36,268.21,1.29022,14.0762,0.06564,0.35121,0.08333,0.0449,0.00783,1.59625,16.6464,0.10614,0.00927057,0.00927057,0.00927057
37,275.598,1.29101,13.9661,0.06535,0.16508,0.17751,0.0553,0.01089,1.49965,14.4941,0.09868,0.00922942,0.00922942,0.00922942
38,283.002,1.3219,13.8638,0.06711,0.70471,0.16667,0.07546,0.01525,1.40938,14.6609,0.0885,0.00918725,0.00918725,0.00918725
39,290.361,1.30187,13.8882,0.06485,0.72227,0.06667,0.05856,0.01158,1.44923,14.8026,0.09153,0.00914405,0.00914405,0.00914405
40,297.404,1.31797,13.7395,0.06711,0.6741,0.13333,0.03643,0.00835,1.46642,14.8276,0.09212,0.00909984,0.00909984,0.00909984
41,304.539,1.30525,13.9521,0.06524,0.01277,0.66512,0.07334,0.02286,1.48107,14.689,0.09502,0.00905463,0.00905463,0.00905463
42,311.51,1.29212,14.116,0.06463,0.00644,0.72984,0.07668,0.02297,1.42397,14.4192,0.09124,0.00900844,0.00900844,0.00900844
43,318.787,1.28456,13.9388,0.06415,0.06531,0.27587,0.05118,0.01004,1.46947,16.2163,0.09556,0.00896127,0.00896127,0.00896127
44,326.321,1.31455,13.9695,0.0653,0.00627,0.67026,0.08372,0.01859,1.47041,14.3858,0.09547,0.00891313,0.00891313,0.00891313
45,333.638,1.29288,13.9539,0.06437,0.06533,0.27974,0.05159,0.00957,1.497,14.5576,0.09743,0.00886404,0.00886404,0.00886404
46,340.883,1.29425,13.911,0.06511,0.37475,0.15037,0.04356,0.00801,1.54244,15.0289,0.10187,0.00881401,0.00881401,0.00881401
47,348.169,1.30361,13.5089,0.06568,0.00974,0.58623,0.0502,0.01067,1.50821,14.0515,0.09849,0.00876305,0.00876305,0.00876305
48,355.323,1.27611,13.734,0.06397,0.42841,0.13567,0.09272,0.02084,1.45781,14.0157,0.09397,0.00871117,0.00871117,0.00871117
49,362.58,1.25429,13.8368,0.06191,0.35925,0.21667,0.05604,0.01221,1.40552,14.7655,0.08697,0.00865839,0.00865839,0.00865839
50,369.962,1.27053,13.7396,0.06377,0.39271,0.1188,0.07689,0.01775,1.53368,14.0286,0.09801,0.00860473,0.00860473,0.00860473
51,377.232,1.31548,13.2497,0.06497,0.08294,0.23825,0.09767,0.02318,1.45647,13.8925,0.09063,0.00855018,0.00855018,0.00855018
52,384.437,1.28589,13.2729,0.06356,0.39287,0.11667,0.09984,0.0231,1.4745,14.117,0.0914,0.00849477,0.00849477,0.00849477
53,391.773,1.2894,13.1185,0.06632,0.41828,0.1901,0.0846,0.02167,1.47757,14.1538,0.09438,0.00843851,0.00843851,0.00843851
54,399.261,1.29218,13.2453,0.06299,0.09064,0.33714,0.07981,0.02098,1.46216,13.9735,0.0946,0.00838141,0.00838141,0.00838141
