epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71932,2.26587,30.1807,0.12627,0.00033,0.06922,0.00021,3e-05,2.25898,22.9283,0.18144,0.00198077,0.00198077,0.0821731
2,17.3345,1.8154,16.1584,0.10266,0.3343,0.04047,0.00021,4e-05,2.25163,444.153,0.18777,0.00398053,0.00398053,0.0641728
3,24.8328,1.71739,15.8821,0.09728,0.00259,0.31101,0.0016,0.00032,1.76022,24.5172,0.12532,0.00597931,0.00597931,0.0461716
4,32.1659,1.56307,16.0968,0.08448,0.67588,0.05263,0.00985,0.00169,1.76959,22.3077,0.12547,0.00797638,0.00797638,0.0281687
5,39.5078,1.53424,15.9141,0.08203,0.00262,0.26851,0.00526,0.00094,1.7715,16.1715,0.1247,0.00997102,0.00997102,0.0101633
6,46.7835,1.4891,15.8368,0.07935,0.00274,0.34639,0.00512,0.00106,1.59159,19.1475,0.10986,0.00998474,0.00998474,0.00998474
7,54.3826,1.4729,15.5422,0.07862,0.00152,0.2172,0.00219,0.00041,1.74522,22.5384,0.12461,0.00997803,0.00997803,0.00997803
8,61.7486,1.47074,15.5424,0.07817,0.67654,0.10526,0.02939,0.00716,1.58466,16.4043,0.10778,0.00997011,0.00997011,0.00997011
9,69.2088,1.43083,15.5746,0.07636,0.00374,0.48148,0.00823,0.00151,1.57084,16.2913,0.10642,0.00996097,0.00996097,0.00996097
10,76.6363,1.40589,15.6937,0.07402,0.004,0.35216,0.02413,0.00466,1.66989,17.0415,0.11537,0.00995062,0.00995062,0.00995062
11,84.2822,1.44162,15.4027,0.07534,0.00902,0.32233,0.00811,0.0017,1.58357,19.0933,0.10946,0.00993906,0.00993906,0.00993906
12,91.7423,1.388,15.3819,0.07513,0.33979,0.13333,0.01562,0.00374,1.54542,15.6747,0.10553,0.00992629,0.00992629,0.00992629
13,99.2702,1.38158,15.31,0.07172,0.69726,0.1,0.03077,0.00649,1.5317,18.1449,0.10341,0.00991232,0.00991232,0.00991232
14,106.69,1.39229,15.2105,0.07228,0.00557,0.52834,0.02256,0.00477,1.59022,15.7785,0.10637,0.00989715,0.00989715,0.00989715
15,114.019,1.39515,14.9965,0.07348,0.69165,0.06667,0.02694,0.00618,1.53458,16.1138,0.10173,0.00988079,0.00988079,0.00988079
16,121.366,1.36693,15.3803,0.06941,0.00621,0.41124,0.03527,0.00828,1.59292,15.3278,0.10788,0.00986323,0.00986323,0.00986323
17,128.814,1.37404,15.0394,0.07022,0.67572,0.1,0.0138,0.00281,1.61267,16.3123,0.10939,0.00984449,0.00984449,0.00984449
18,136.194,1.38844,14.8231,0.07149,0.01187,0.40479,0.02167,0.00488,1.52681,16.0447,0.10087,0.00982456,0.00982456,0.00982456
19,143.364,1.36386,14.9702,0.07017,0.00516,0.6118,0.01836,0.00289,1.54084,15.7567,0.10329,0.00980345,0.00980345,0.00980345
20,150.652,1.35254,14.914,0.07036,0.70609,0.06667,0.05842,0.01341,1.49275,16.1076,0.09679,0.00978118,0.00978118,0.00978118
21,157.967,1.35683,14.8936,0.07075,0.00851,0.54589,0.03244,0.0095,1.55701,15.7889,0.10658,0.00975773,0.00975773,0.00975773
