epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,314.7,1.20636,12.8363,4.25266,0.43244,0.20463,0.09585,0.02119,1.51203,13.1384,4.72331,0.00900844,0.00900844,0.00900844
43,322.05,1.22923,12.6795,4.32063,0.74153,0.13333,0.10612,0.02369,1.48387,14.2251,4.69304,0.00896127,0.00896127,0.00896127
44,329.478,1.21043,12.7216,4.24103,0.74381,0.08539,0.13832,0.03954,1.3908,14.3474,4.485,0.00891313,0.00891313,0.00891313
45,336.871,1.17116,12.7882,4.16435,0.12887,0.24999,0.09807,0.02275,1.39281,13.2691,4.55967,0.00886404,0.00886404,0.00886404
46,344.329,1.1875,12.7731,4.21989,0.11212,0.33917,0.1477,0.04687,1.45554,14.847,4.64115,0.00881401,0.00881401,0.00881401
47,351.832,1.17958,12.6814,4.17526,0.13043,0.23853,0.09689,0.02262,1.46653,13.8129,4.6831,0.00876305,0.00876305,0.00876305
48,359.301,1.18277,12.6936,4.18223,0.1225,0.3233,0.12307,0.03011,1.38535,13.0797,4.48058,0.00871117,0.00871117,0.00871117
49,366.673,1.185,12.6106,4.21755,0.77168,0.1,0.10966,0.03197,1.46834,15.2251,4.66554,0.00865839,0.00865839,0.00865839
50,374.269,1.18674,12.6407,4.17737,0.17494,0.1929,0.10029,0.02209,1.4606,14.2082,4.68026,0.00860473,0.00860473,0.00860473
51,381.647,1.16129,12.4886,4.12215,0.11022,0.27193,0.15678,0.03222,1.37602,13.9732,4.40931,0.00855018,0.00855018,0.00855018
52,389.011,1.18345,12.2632,4.14825,0.23402,0.23534,0.09913,0.0228,1.47139,12.6313,4.67755,0.00849477,0.00849477,0.00849477
53,396.569,1.18601,12.1182,4.15027,0.17683,0.39737,0.13838,0.02768,1.42987,13.5942,4.5153,0.00843851,0.00843851,0.00843851
54,403.777,1.1701,12.3196,4.12529,0.23914,0.21654,0.15376,0.04381,1.41608,13.0957,4.47882,0.00838141,0.00838141,0.00838141
55,411.066,1.13784,12.3321,4.11851,0.20141,0.23351,0.16868,0.04127,1.37073,13.3712,4.4976,0.00832349,0.00832349,0.00832349
56,418.329,1.16306,12.2293,4.14352,0.81329,0.1,0.17087,0.04224,1.46313,13.9207,4.61916,0.00826477,0.00826477,0.00826477
57,425.649,1.19563,12.2818,4.14788,0.16622,0.34724,0.11438,0.02603,1.42714,13.2141,4.55006,0.00820525,0.00820525,0.00820525
58,432.928,1.18045,12.1751,4.13501,0.50549,0.12719,0.15599,0.0476,1.36445,12.7856,4.40441,0.00814495,0.00814495,0.00814495
59,440.301,1.15919,12.3103,4.11399,0.75063,0.08333,0.12359,0.02738,1.43938,13.3098,4.59106,0.00808389,0.00808389,0.00808389
60,447.613,1.1603,12.2311,4.09909,0.12235,0.32367,0.08624,0.02327,1.39839,13.054,4.48864,0.00802208,0.00802208,0.00802208
61,455.048,1.1713,12.0992,4.09504,0.18189,0.29029,0.09002,0.02327,1.41886,12.4259,4.48993,0.00795954,0.00795954,0.00795954
62,462.515,1.17312,12.0039,4.06697,0.13373,0.27004,0.12431,0.02922,1.44236,13.3882,4.555,0.00789628,0.00789628,0.00789628
63,469.915,1.17677,12.0294,4.08681,0.27293,0.37475,0.14608,0.04045,1.36356,13.2299,4.32589,0.00783231,0.00783231,0.00783231
64,477.324,1.14887,12.1965,4.0051,0.16638,0.28496,0.09749,0.02757,1.34026,12.9487,4.30177,0.00776766,0.00776766,0.00776766
65,484.807,1.14801,12.1989,3.98362,0.16162,0.30714,0.11397,0.03715,1.42828,13.1171,4.55007,0.00770234,0.00770234,0.00770234
66,492.241,1.13776,12.1724,4.05634,0.19418,0.22794,0.13669,0.03329,1.35273,12.7802,4.3563,0.00763637,0.00763637,0.00763637
67,499.677,1.12861,12.2068,4.01515,0.50375,0.2181,0.13448,0.03871,1.37284,12.3362,4.35839,0.00756976,0.00756976,0.00756976
68,508.077,1.14067,12.0363,4.00353,0.28168,0.27493,0.16059,0.03718,1.37036,12.8029,4.40366,0.00750252,0.00750252,0.00750252
69,515.622,1.15081,12.2556,4.0364,0.22476,0.34499,0.16074,0.05007,1.35929,13.5021,4.39083,0.00743468,0.00743468,0.00743468
70,523.211,1.14012,12.3262,4.02251,0.19835,0.26365,0.15671,0.03951,1.37732,13.0464,4.40606,0.00736625,0.00736625,0.00736625
71,530.806,1.14148,12.1824,4.01945,0.16022,0.32719,0.10641,0.02948,1.33876,12.5945,4.32919,0.00729725,0.00729725,0.00729725
72,538.255,1.11684,11.9772,3.99839,0.78818,0.08333,0.13548,0.03558,1.44209,13.56,4.60576,0.0072277,0.0072277,0.0072277
73,545.652,1.11731,12.2153,4.01757,0.22122,0.23051,0.17119,0.03771,1.34914,12.6091,4.37866,0.00715761,0.00715761,0.00715761
74,553.082,1.11922,12.0515,3.98727,0.2859,0.35119,0.13025,0.03993,1.39351,12.3931,4.43313,0.007087,0.007087,0.007087
75,560.393,1.16444,11.7438,4.02258,0.1389,0.32236,0.11405,0.034,1.4115,12.5716,4.42505,0.00701588,0.00701588,0.00701588
76,567.732,1.13567,11.7991,4.00574,0.19843,0.27456,0.1531,0.04801,1.39958,12.6956,4.49593,0.00694428,0.00694428,0.00694428
77,574.979,1.12928,11.8887,3.9834,0.14388,0.26027,0.10388,0.02806,1.40368,12.6117,4.45286,0.00687222,0.00687222,0.00687222
78,582.309,1.11565,12.039,3.94207,0.12447,0.29243,0.10436,0.02841,1.36557,12.8171,4.32911,0.0067997,0.0067997,0.0067997
